symbol,price,change,low,high,ema20,ema50,ema100,ema200,score
AFFLE,1443.9,-0.91,1423.8,1462.0,1470.63,1465.3,1521.29,1612.77,0.0
CANBK,127.66,1.2,123.67,128.0,132.14,136.33,138.35,134.68,0.0
INFY,1193.7,-0.27,1184.9,1206.9,1179.01,1244.64,1329.43,1412.03,0.0
ANTHEM,780.5,-0.87,765.2,819.65,773.03,735.86,712.47,709.38,0.0
APLAPOLLO,1857.1,-0.4,1821.7,1874.5,1921.65,1968.09,1963.64,1912.24,0.0
BDL,1303.8,-0.61,1279.3,1308.9,1352.47,1344.77,1369.37,1449.19,0.0
CROMPTON,290.6,-1.02,287.15,292.9,281.02,267.39,264.59,276.38,0.0
NIVABUPA,81.51,0.62,80.0,82.52,79.79,77.61,77.0,78.48,0.0
BATAINDIA,686.9,-0.56,680.45,688.45,707.72,729.44,792.64,901.96,0.0
JYOTICNC,669.95,-1.35,659.0,678.0,727.34,756.54,802.23,879.12,0.0
INOXWIND,95.27,-1.07,94.03,95.8,97.8,96.83,103.19,119.32,0.0
AFCONS,305.4,-3.28,304.1,312.0,325.7,322.33,334.54,363.85,0.0
HAL,4326.5,-0.15,4251.1,4347.5,4431.93,4300.88,4291.44,4398.87,0.0
IEX,125.62,0.11,123.93,125.91,127.07,126.88,129.71,139.72,0.0
INTELLECT,689.95,-1.03,688.0,714.6,716.24,720.66,771.91,858.97,0.0
HINDUNILVR,2209.3,-1.06,2201.0,2226.9,2257.92,2251.35,2280.93,2327.07,0.0
FACT,867.3,-0.36,853.55,870.8,880.02,859.39,851.54,864.33,0.0
ELECON,486.25,0.23,475.5,488.5,494.76,468.31,464.56,494.77,0.0
ACC,1351.6,-0.57,1343.0,1353.8,1384.23,1428.95,1516.7,1633.27,0.0
LTFOODS,403.9,-1.88,398.6,410.3,413.86,408.45,405.2,406.24,0.0
SAGILITY,42.1,-0.17,41.7,43.48,42.31,42.54,43.81,44.77,0.0
BOSCHLTD,36830.0,-0.81,36370.0,37380.0,36726.03,35854.37,35711.35,35638.52,0.0
ASAHIINDIA,828.95,-1.05,820.8,835.45,831.91,850.35,875.29,876.71,0.0
PCBL,292.65,6.98,267.55,303.65,285.58,283.9,292.03,315.17,0.0
ABB,6605.0,4.36,6259.5,6624.0,6709.98,6579.56,6233.55,5920.0,0.0
KPITTECH,750.8,0.95,741.5,760.9,729.34,755.17,844.92,977.13,0.0
SHREECEM,24420.0,-0.02,23990.0,24545.0,24789.93,24896.64,25515.7,26773.3,0.0
SHYAMMETL,922.6,1.89,895.05,924.0,876.99,855.15,848.76,857.97,0.0
ENGINERSIN,241.4,-1.47,238.0,243.25,244.15,230.39,218.21,210.53,0.0
SONATSOFTW,267.05,0.89,260.4,267.85,266.22,266.2,283.47,313.69,0.0
DCMSHRIRAM,1098.1,-0.03,1081.9,1112.7,1167.02,1157.29,1157.26,1163.1,0.0
RAMCOCEM,879.95,-2.94,875.0,913.0,933.56,968.13,1000.19,1019.0,0.0
HDFCAMC,2685.3,1.19,2605.2,2698.5,2695.22,2652.23,2637.5,2626.3,0.0
POLYMED,1459.4,0.3,1428.2,1489.0,1521.11,1483.83,1531.38,1694.42,0.0
TATASTEEL,207.01,-1.09,203.04,207.5,211.96,207.01,199.26,188.38,0.0
LODHA,880.0,-1.37,856.1,884.3,883.97,888.43,941.41,1041.85,0.0
CANFINHOME,838.5,0.0,827.5,843.95,856.76,861.53,863.62,848.89,0.0
BERGEPAINT,508.45,0.15,496.65,511.9,494.15,476.34,481.31,500.99,0.0
ASTRAL,1443.7,-0.36,1431.6,1472.7,1538.86,1558.85,1545.52,1509.78,0.0
HAVELLS,1207.8,0.05,1190.5,1213.0,1232.25,1267.82,1316.37,1381.67,0.0
PNB,102.22,0.91,99.67,102.45,105.93,110.15,113.43,113.65,0.0
DALBHARAT,1706.8,-0.41,1694.1,1716.7,1827.3,1893.56,1959.12,2025.15,0.0
POLICYBZR,1830.0,1.4,1771.2,1845.5,1680.16,1620.97,1624.49,1659.22,0.0
PFIZER,4687.6,-2.04,4656.0,4816.2,4775.97,4798.29,4852.44,4940.47,0.0
NTPC,392.45,0.78,384.0,393.35,393.82,386.89,374.48,361.06,0.0
PAYTM,1153.5,2.86,1101.0,1156.8,1132.16,1124.66,1141.02,1131.93,0.0
CENTRALBK,33.85,-0.56,33.52,33.95,35.09,35.57,36.12,36.62,0.0
JUBLINGREA,735.45,1.25,720.1,737.9,716.26,680.77,668.04,672.84,0.0
WIPRO,197.12,1.0,194.01,197.94,196.08,201.58,212.59,225.91,0.0
COROMANDEL,1871.6,-0.29,1828.0,1880.0,1928.46,2003.75,2086.38,2174.62,0.0
AMBER,7049.5,-1.11,6938.0,7117.5,7874.63,7623.85,7396.69,7238.44,0.0
PRESTIGE,1387.8,0.78,1340.6,1395.0,1387.64,1381.5,1421.24,1472.52,0.0
BEL,413.3,-2.28,407.0,420.0,430.06,432.89,428.93,417.96,0.0
MSUMI,39.72,0.84,38.63,39.86,40.23,40.46,41.49,42.07,0.0
ABDL,532.25,0.14,510.65,534.9,542.46,521.28,517.72,511.53,0.0
RITES,204.22,-0.43,200.96,205.6,213.8,213.09,217.99,230.5,0.0
ALKEM,5436.5,-0.61,5416.5,5507.5,5476.64,5472.28,5488.61,5458.66,0.0
BRITANNIA,5344.5,-1.33,5321.5,5390.5,5524.35,5641.88,5734.37,5760.28,0.0
GAIL,155.64,-0.31,151.71,156.0,160.7,159.3,161.52,167.58,0.0
ABSLAMC,1021.1,-1.52,1001.6,1036.8,1034.38,995.55,939.54,879.24,0.0
HBLENGINE,767.65,2.05,741.3,772.0,781.75,764.93,767.9,759.06,0.0
TECHNOE,1202.7,0.74,1160.0,1209.7,1218.93,1183.58,1167.54,1195.75,0.0
HDFCBANK,759.5,-0.39,755.15,762.25,773.69,801.14,845.58,892.71,0.0
MUTHOOTFIN,3309.3,0.17,3236.0,3317.0,3422.05,3452.1,3457.55,3293.88,0.0
GODREJPROP,1719.4,0.23,1676.3,1735.0,1757.93,1749.23,1792.77,1893.33,0.0
HEROMOTOCO,4968.0,-0.79,4902.0,5015.0,5100.49,5215.36,5324.03,5261.75,0.0
MRF,127125.0,0.31,125410.0,127790.0,129413.46,132649.51,137021.72,140832.44,0.0
ATHERENERG,909.05,-0.14,873.6,916.05,911.95,854.84,784.54,684.09,0.0
SBILIFE,1864.2,-0.91,1856.1,1882.4,1860.68,1887.17,1915.23,1909.36,0.0
FSL,247.32,2.17,236.51,249.29,236.46,237.41,257.46,289.37,0.0
IREDA,126.77,-0.78,125.72,127.45,129.74,128.33,130.21,137.38,0.0
RBLBANK,328.5,1.5,318.45,329.6,328.72,321.42,313.66,297.49,0.0
ANANDRATHI,3533.7,-0.93,3480.1,3567.5,3553.47,3423.0,3262.42,3014.12,0.0
MAZDOCK,2437.8,0.62,2380.0,2444.9,2536.82,2508.92,2514.39,2631.58,0.0
NEWGEN,450.3,-2.35,448.35,460.9,472.99,490.42,563.58,710.29,0.0
RAINBOW,1342.0,-0.64,1325.2,1358.3,1294.87,1258.35,1259.02,1292.47,0.0
KEC,471.7,0.49,467.55,478.7,544.28,564.4,603.91,666.22,0.0
JMFINANCIL,128.1,-0.74,125.74,128.88,135.24,133.82,135.74,139.01,0.0
NAVA,627.35,4.06,596.7,637.95,657.87,634.0,610.96,589.1,0.0
CONCOR,504.15,-0.29,493.0,507.6,510.36,500.0,501.4,516.72,0.0
LUPIN,2285.5,-0.08,2264.8,2309.6,2300.0,2293.49,2245.09,2164.73,0.0
LT,3910.7,-0.26,3883.1,3943.5,3950.06,3937.48,3926.91,3873.02,0.0
VMM,122.14,0.48,120.06,122.99,121.02,119.55,121.75,125.54,0.0
PIDILITIND,1455.6,-0.01,1431.4,1465.0,1428.36,1410.8,1422.56,1446.73,0.0
MGL,1075.6,1.53,1044.4,1082.7,1092.83,1087.53,1106.51,1164.23,0.0
NIACL,163.1,-0.89,161.35,163.8,161.71,155.62,155.58,161.58,0.0
HINDCOPPER,554.6,-2.62,546.5,561.7,561.71,546.52,517.14,453.08,0.0
JKCEMENT,5344.5,-1.66,5327.5,5442.0,5453.38,5466.04,5550.13,5656.88,0.0
TATAPOWER,413.5,-0.36,409.75,415.95,421.39,412.93,402.01,395.96,0.0
CAPLIPOINT,2016.6,-1.06,2009.8,2068.1,1867.67,1788.28,1795.4,1866.63,0.0
JINDALSTEL,1223.1,-0.26,1200.9,1244.0,1235.61,1213.94,1172.92,1115.33,0.0
EICHERMOT,6849.5,-0.48,6752.5,6905.0,7072.59,7136.42,7131.35,6892.33,0.0
CONCORDBIO,1116.0,-2.4,1106.7,1165.5,1131.5,1132.26,1192.67,1306.36,0.0
INDGN,513.6,0.43,504.2,519.8,512.55,498.69,498.96,515.79,0.0
LEMONTREE,111.14,0.12,108.8,111.35,114.48,116.43,123.62,132.66,0.0
BEML,1828.8,0.13,1773.0,1847.6,1814.17,1754.77,1759.18,1810.96,0.0
HUDCO,205.93,1.89,198.02,210.7,210.99,203.11,202.81,208.54,0.0
CHOLAHLDNG,1631.3,-2.47,1607.6,1669.1,1653.32,1625.62,1660.47,1730.49,0.0
IRFC,97.13,-0.09,95.65,97.3,101.14,102.47,106.61,113.73,0.0
TATACOMM,1775.6,7.83,1630.2,1805.0,1607.5,1571.88,1595.95,1634.23,0.0
GRAVITA,1615.3,-0.39,1593.0,1630.0,1658.68,1616.38,1621.57,1677.58,0.0
TITAGARH,746.95,0.99,721.2,756.1,767.32,747.48,757.02,790.98,0.0
BHARATFORG,1888.2,1.66,1827.6,1905.7,1894.23,1828.74,1719.76,1573.07,0.0
SBFC,90.59,-0.2,89.41,90.8,92.84,93.11,95.39,99.05,0.0
PIIND,2901.2,-7.15,2860.1,2950.0,3049.98,3042.17,3117.36,3286.57,0.0
ERIS,1458.2,9.13,1340.1,1495.0,1368.65,1371.37,1408.07,1465.18,0.0
NTPCGREEN,105.93,-1.61,105.58,107.0,108.05,104.21,100.66,99.69,0.0
NATIONALUM,402.4,0.86,393.2,403.4,407.11,399.04,371.57,323.68,0.0
COHANCE,420.15,-1.91,415.15,428.95,432.2,402.75,436.51,561.42,0.0
